,,R^2 = 0 (Type I Error),,,,Difference From Expected,,
,N,Expected,Prior2,Prior1,Prior3,Prior2,Prior1,Prior3
alpha = .05,50,0.05,0.06,0.094,0.073,0.010,0.044,0.023
,100,0.05,0.053,0.075,0.068,0.003,0.025,0.018
,150,0.05,0.053,0.063,0.06,0.003,0.013,0.010
alpha = .1,50,0.1,0.098,0.152,0.126,-0.002,0.052,0.026
,100,0.1,0.105,0.129,0.117,0.005,0.029,0.017
,150,0.1,0.101,0.11,0.105,0.001,0.010,0.005
alpha = .01,50,0.01,0.014,0.03,0.024,0.004,0.020,0.014
,100,0.01,0.015,0.023,0.02,0.005,0.013,0.010
,150,0.01,0.014,0.015,0.013,0.004,0.005,0.003
,,,,,,,,
,,R^2 = .02,,,,Difference From Expected,,
,N,Expected,Prior2,Prior1,Prior3,Prior2,Prior1,Prior3
alpha = .05,50,0.083,0.085,0.127,0.104,0.002,0.044,0.021
,100,0.122,0.126,0.143,0.133,0.004,0.021,0.011
,150,0.168,0.169,0.199,0.188,0.001,0.031,0.020
alpha = .1,50,0.151,0.137,0.201,0.169,-0.014,0.050,0.018
,100,0.207,0.206,0.23,0.212,-0.001,0.023,0.005
,150,0.268,0.252,0.303,0.292,-0.016,0.035,0.024
alpha = .01,50,0.020,0.026,0.052,0.042,0.006,0.032,0.022
,100,0.035,0.038,0.047,0.042,0.003,0.012,0.007
,150,0.055,0.058,0.08,0.072,0.003,0.025,0.017
,,,,,,,,
,,R^2 = .07,,,,Difference From Expected,,
,N,Expected,Prior2,Prior1,Prior3,Prior2,Prior1,Prior3
alpha = .05,50,0.203,0.169,0.246,0.209,-0.034,0.043,0.006
,100,0.409,0.376,0.426,0.405,-0.033,0.017,-0.004
,150,0.607,0.578,0.609,0.591,-0.029,0.002,-0.016
alpha = .1,50,0.311,0.25,0.349,0.318,-0.061,0.038,0.007
,100,0.539,0.501,0.556,0.536,-0.038,0.017,-0.003
,150,0.724,0.716,0.728,0.717,-0.008,0.004,-0.007
alpha = .01,50,0.071,0.069,0.112,0.091,-0.002,0.041,0.020
,100,0.197,0.188,0.233,0.215,-0.009,0.036,0.018
,150,0.366,0.352,0.391,0.378,-0.014,0.025,0.012
,,,,,,,,
,,R^2 = .13,,,,Difference From Expected,,
,N,Expected,Prior2,Prior1,Prior3,Prior2,Prior1,Prior3
alpha = .05,50,0.405,0.337,0.425,0.384,-0.068,0.020,-0.021
,100,0.758,0.693,0.745,0.733,-0.065,-0.013,-0.025
,150,0.928,0.906,0.919,0.915,-0.022,-0.009,-0.013
alpha = .1,50,0.536,0.454,0.523,0.487,-0.082,-0.013,-0.049
,100,0.846,0.787,0.83,0.818,-0.059,-0.016,-0.028
,150,0.962,0.948,0.956,0.951,-0.014,-0.006,-0.011
alpha = .01,50,0.195,0.181,0.258,0.222,-0.014,0.063,0.027
,100,0.537,0.475,0.556,0.533,-0.062,0.019,-0.004
,150,0.806,0.761,0.809,0.8,-0.045,0.003,-0.006
