numX,Rsq,N,Lambda,Alpha,Type,Power
1,0.02,50,0.15,0.1,Theory,0.266777042
1,0.02,100,0.15,0.1,Theory,0.415441976
1,0.02,150,0.15,0.1,Theory,0.542069349
1,0.02,250,0.15,0.1,Theory,0.730412006
1,0.02,500,0.15,0.1,Theory,0.939373373
1,0.02,1000,0.15,0.1,Theory,0.997965008
1,0.07,50,0.15,0.1,Theory,0.616211961
1,0.07,100,0.15,0.1,Theory,0.864048097
1,0.07,150,0.15,0.1,Theory,0.956850936
1,0.07,250,0.15,0.1,Theory,0.996459669
1,0.07,500,0.15,0.1,Theory,0.999996436
1,0.07,1000,0.15,0.1,Theory,1
1,0.13,50,0.15,0.1,Theory,0.861820472
1,0.13,100,0.15,0.1,Theory,0.986814479
1,0.13,150,0.15,0.1,Theory,0.998997421
1,0.13,250,0.15,0.1,Theory,0.999996036
1,0.13,500,0.15,0.1,Theory,1
1,0.13,1000,0.15,0.1,Theory,1
1,0.26,50,0.15,0.1,Theory,0.99455977
1,0.26,100,0.15,0.1,Theory,0.999990765
1,0.26,150,0.15,0.1,Theory,0.99999999
1,0.26,250,0.15,0.1,Theory,1
1,0.26,500,0.15,0.1,Theory,1
1,0.26,1000,0.15,0.1,Theory,1
1,0.02,50,0.25,0.1,Theory,0.266777042
1,0.02,100,0.25,0.1,Theory,0.415441976
1,0.02,150,0.25,0.1,Theory,0.542069349
1,0.02,250,0.25,0.1,Theory,0.730412006
1,0.02,500,0.25,0.1,Theory,0.939373373
1,0.02,1000,0.25,0.1,Theory,0.997965008
1,0.07,50,0.25,0.1,Theory,0.616211961
1,0.07,100,0.25,0.1,Theory,0.864048097
1,0.07,150,0.25,0.1,Theory,0.956850936
1,0.07,250,0.25,0.1,Theory,0.996459669
1,0.07,500,0.25,0.1,Theory,0.999996436
1,0.07,1000,0.25,0.1,Theory,1
1,0.13,50,0.25,0.1,Theory,0.861820472
1,0.13,100,0.25,0.1,Theory,0.986814479
1,0.13,150,0.25,0.1,Theory,0.998997421
1,0.13,250,0.25,0.1,Theory,0.999996036
1,0.13,500,0.25,0.1,Theory,1
1,0.13,1000,0.25,0.1,Theory,1
1,0.26,50,0.25,0.1,Theory,0.99455977
1,0.26,100,0.25,0.1,Theory,0.999990765
1,0.26,150,0.25,0.1,Theory,0.99999999
1,0.26,250,0.25,0.1,Theory,1
1,0.26,500,0.25,0.1,Theory,1
1,0.26,1000,0.25,0.1,Theory,1
1,0.02,50,0.15,0.1,MLR,0.279
1,0.02,100,0.15,0.1,MLR,0.383691846
1,0.02,150,0.15,0.1,MLR,0.4935
1,0.02,250,0.15,0.1,MLR,0.66
1,0.02,500,0.15,0.1,MLR,0.886943472
1,0.02,1000,0.15,0.1,MLR,0.991983968
1,0.07,50,0.15,0.1,MLR,0.576
1,0.07,100,0.15,0.1,MLR,0.810405203
1,0.07,150,0.15,0.1,MLR,0.912956478
1,0.07,250,0.15,0.1,MLR,0.9895
1,0.07,500,0.15,0.1,MLR,0.99949975
1,0.07,1000,0.15,0.1,MLR,1
1,0.13,50,0.15,0.1,MLR,0.803
1,0.13,100,0.15,0.1,MLR,0.963981991
1,0.13,150,0.15,0.1,MLR,0.995
1,0.13,250,0.15,0.1,MLR,1
1,0.13,500,0.15,0.1,MLR,1
1,0.13,1000,0.15,0.1,MLR,1
1,0.26,50,0.15,0.1,MLR,0.9795
1,0.26,100,0.15,0.1,MLR,1
1,0.26,150,0.15,0.1,MLR,1
1,0.26,250,0.15,0.1,MLR,1
1,0.26,500,0.15,0.1,MLR,1
1,0.26,1000,0.15,0.1,MLR,1
1,0.02,50,0.25,0.1,MLR,0.284
1,0.02,100,0.25,0.1,MLR,0.3965
1,0.02,150,0.25,0.1,MLR,0.5065
1,0.02,250,0.25,0.1,MLR,0.686
1,0.02,500,0.25,0.1,MLR,0.903951976
1,0.02,1000,0.25,0.1,MLR,0.994488978
1,0.07,50,0.25,0.1,MLR,0.5915
1,0.07,100,0.25,0.1,MLR,0.827913957
1,0.07,150,0.25,0.1,MLR,0.924462231
1,0.07,250,0.25,0.1,MLR,0.9905
1,0.07,500,0.25,0.1,MLR,1
1,0.07,1000,0.25,0.1,MLR,1
1,0.13,50,0.25,0.1,MLR,0.819
1,0.13,100,0.25,0.1,MLR,0.972986493
1,0.13,150,0.25,0.1,MLR,0.995997999
1,0.13,250,0.25,0.1,MLR,1
1,0.13,500,0.25,0.1,MLR,1
1,0.13,1000,0.25,0.1,MLR,1
1,0.26,50,0.25,0.1,MLR,0.9835
1,0.26,100,0.25,0.1,MLR,1
1,0.26,150,0.25,0.1,MLR,1
1,0.26,250,0.25,0.1,MLR,1
1,0.26,500,0.25,0.1,MLR,1
1,0.26,1000,0.25,0.1,MLR,1
1,0.02,50,0.15,0.1,ML,0.265
1,0.02,100,0.15,0.1,ML,0.371185593
1,0.02,150,0.15,0.1,ML,0.477
1,0.02,250,0.15,0.1,ML,0.654
1,0.02,500,0.15,0.1,ML,0.884442221
1,0.02,1000,0.15,0.1,ML,0.991482966
1,0.07,50,0.15,0.1,ML,0.539
1,0.07,100,0.15,0.1,ML,0.793396698
1,0.07,150,0.15,0.1,ML,0.906453227
1,0.07,250,0.15,0.1,ML,0.9875
1,0.07,500,0.15,0.1,ML,1
1,0.07,1000,0.15,0.1,ML,1
1,0.13,50,0.15,0.1,ML,0.784
1,0.13,100,0.15,0.1,ML,0.965482741
1,0.13,150,0.15,0.1,ML,0.994
1,0.13,250,0.15,0.1,ML,1
1,0.13,500,0.15,0.1,ML,1
1,0.13,1000,0.15,0.1,ML,1
1,0.26,50,0.15,0.1,ML,0.9755
1,0.26,100,0.15,0.1,ML,1
1,0.26,150,0.15,0.1,ML,1
1,0.26,250,0.15,0.1,ML,1
1,0.26,500,0.15,0.1,ML,1
1,0.26,1000,0.15,0.1,ML,1
1,0.02,50,0.25,0.1,ML,0.2715
1,0.02,100,0.25,0.1,ML,0.3825
1,0.02,150,0.25,0.1,ML,0.4955
1,0.02,250,0.25,0.1,ML,0.6805
1,0.02,500,0.25,0.1,ML,0.902951476
1,0.02,1000,0.25,0.1,ML,0.994488978
1,0.07,50,0.25,0.1,ML,0.56
1,0.07,100,0.25,0.1,ML,0.815407704
1,0.07,150,0.25,0.1,ML,0.923461731
1,0.07,250,0.25,0.1,ML,0.99
1,0.07,500,0.25,0.1,ML,1
1,0.07,1000,0.25,0.1,ML,1
1,0.13,50,0.25,0.1,ML,0.8065
1,0.13,100,0.25,0.1,ML,0.971485743
1,0.13,150,0.25,0.1,ML,0.995497749
1,0.13,250,0.25,0.1,ML,1
1,0.13,500,0.25,0.1,ML,1
1,0.13,1000,0.25,0.1,ML,1
1,0.26,50,0.25,0.1,ML,0.981
1,0.26,100,0.25,0.1,ML,1
1,0.26,150,0.25,0.1,ML,1
1,0.26,250,0.25,0.1,ML,1
1,0.26,500,0.25,0.1,ML,1
1,0.26,1000,0.25,0.1,ML,1
1,0.02,50,0.15,0.1,BayesYJ,0.251
1,0.02,100,0.15,0.1,BayesYJ,0.40070035
1,0.02,150,0.15,0.1,BayesYJ,0.5185
1,0.02,250,0.15,0.1,BayesYJ,0.728
1,0.02,500,0.15,0.1,BayesYJ,0.928964482
1,0.02,1000,0.15,0.1,BayesYJ,0.99749499
1,0.07,50,0.15,0.1,BayesYJ,0.5795
1,0.07,100,0.15,0.1,BayesYJ,0.851425713
1,0.07,150,0.15,0.1,BayesYJ,0.945472736
1,0.07,250,0.15,0.1,BayesYJ,0.996
1,0.07,500,0.15,0.1,BayesYJ,1
1,0.07,1000,0.15,0.1,BayesYJ,1
1,0.13,50,0.15,0.1,BayesYJ,0.8155
1,0.13,100,0.15,0.1,BayesYJ,0.981490745
1,0.13,150,0.15,0.1,BayesYJ,0.9995
1,0.13,250,0.15,0.1,BayesYJ,1
1,0.13,500,0.15,0.1,BayesYJ,1
1,0.13,1000,0.15,0.1,BayesYJ,1
1,0.26,50,0.15,0.1,BayesYJ,0.986
1,0.26,100,0.15,0.1,BayesYJ,1
1,0.26,150,0.15,0.1,BayesYJ,1
1,0.26,250,0.15,0.1,BayesYJ,1
1,0.26,500,0.15,0.1,BayesYJ,1
1,0.26,1000,0.15,0.1,BayesYJ,1
1,0.02,50,0.25,0.1,BayesYJ,0.251
1,0.02,100,0.25,0.1,BayesYJ,0.4015
1,0.02,150,0.25,0.1,BayesYJ,0.518
1,0.02,250,0.25,0.1,BayesYJ,0.7275
1,0.02,500,0.25,0.1,BayesYJ,0.928964482
1,0.02,1000,0.25,0.1,BayesYJ,0.99749499
1,0.07,50,0.25,0.1,BayesYJ,0.579
1,0.07,100,0.25,0.1,BayesYJ,0.851925963
1,0.07,150,0.25,0.1,BayesYJ,0.945972986
1,0.07,250,0.25,0.1,BayesYJ,0.996
1,0.07,500,0.25,0.1,BayesYJ,1
1,0.07,1000,0.25,0.1,BayesYJ,1
1,0.13,50,0.25,0.1,BayesYJ,0.815
1,0.13,100,0.25,0.1,BayesYJ,0.980990495
1,0.13,150,0.25,0.1,BayesYJ,0.99949975
1,0.13,250,0.25,0.1,BayesYJ,1
1,0.13,500,0.25,0.1,BayesYJ,1
1,0.13,1000,0.25,0.1,BayesYJ,1
1,0.26,50,0.25,0.1,BayesYJ,0.986
1,0.26,100,0.25,0.1,BayesYJ,1
1,0.26,150,0.25,0.1,BayesYJ,1
1,0.26,250,0.25,0.1,BayesYJ,1
1,0.26,500,0.25,0.1,BayesYJ,1
1,0.26,1000,0.25,0.1,BayesYJ,1
1,0.02,50,0.15,0.1,Bayes,0.2345
1,0.02,100,0.15,0.1,Bayes,0.352
1,0.02,150,0.15,0.1,Bayes,0.456554495
1,0.02,250,0.15,0.1,Bayes,0.645728643
1,0.02,500,0.15,0.1,Bayes,0.882115869
1,0.02,1000,0.15,0.1,Bayes,0.990918264
1,0.07,50,0.15,0.1,Bayes,0.498
1,0.07,100,0.15,0.1,Bayes,0.781
1,0.07,150,0.15,0.1,Bayes,0.900502513
1,0.07,250,0.15,0.1,Bayes,0.985427136
1,0.07,500,0.15,0.1,Bayes,1
1,0.07,1000,0.15,0.1,Bayes,1
1,0.13,50,0.15,0.1,Bayes,0.751
1,0.13,100,0.15,0.1,Bayes,0.963
1,0.13,150,0.15,0.1,Bayes,0.993467337
1,0.13,250,0.15,0.1,Bayes,0.999497235
1,0.13,500,0.15,0.1,Bayes,1
1,0.13,1000,0.15,0.1,Bayes,1
1,0.26,50,0.15,0.1,Bayes,0.9715
1,0.26,100,0.15,0.1,Bayes,1
1,0.26,150,0.15,0.1,Bayes,1
1,0.26,250,0.15,0.1,Bayes,1
1,0.26,500,0.15,0.1,Bayes,1
1,0.26,1000,0.15,0.1,Bayes,1
1,0.02,50,0.25,0.1,Bayes,0.243
1,0.02,100,0.25,0.1,Bayes,0.368
1,0.02,150,0.25,0.1,Bayes,0.476644902
1,0.02,250,0.25,0.1,Bayes,0.675376884
1,0.02,500,0.25,0.1,Bayes,0.902770781
1,0.02,1000,0.25,0.1,Bayes,0.99394551
1,0.07,50,0.25,0.1,Bayes,0.518
1,0.07,100,0.25,0.1,Bayes,0.8055
1,0.07,150,0.25,0.1,Bayes,0.918090452
1,0.07,250,0.25,0.1,Bayes,0.989447236
1,0.07,500,0.25,0.1,Bayes,1
1,0.07,1000,0.25,0.1,Bayes,1
1,0.13,50,0.25,0.1,Bayes,0.7725
1,0.13,100,0.25,0.1,Bayes,0.967483742
1,0.13,150,0.25,0.1,Bayes,0.994472362
1,0.13,250,0.25,0.1,Bayes,1
1,0.13,500,0.25,0.1,Bayes,1
1,0.13,1000,0.25,0.1,Bayes,1
1,0.26,50,0.25,0.1,Bayes,0.976
1,0.26,100,0.25,0.1,Bayes,1
1,0.26,150,0.25,0.1,Bayes,1
1,0.26,250,0.25,0.1,Bayes,1
1,0.26,500,0.25,0.1,Bayes,1
1,0.26,1000,0.25,0.1,Bayes,1
1,0.02,50,0.15,0.05,Theory,0.17259247
1,0.02,100,0.15,0.05,Theory,0.297924724
